numSubProcesses,iteration number,init prep,sum amplitude,sum phaseVector,define BMP_sys,get colour scale,define pixel col,Process time,absolute calc totalTime
3,76,0.188825,0.99162,1.02687,0.00984433,0.975032,0.000540333,4069.33,4083
3,77,0.185664,0.988266,1.02924,0.0101217,0.972018,0.000318667,4062.33,4102
3,78,0.188928,0.990869,1.03167,0.00977567,0.976287,0.000335333,4074.33,4087
3,79,0.184792,0.97981,1.01137,0.00871533,0.969285,0.000430667,4027.67,4050
3,80,0.187889,0.988634,1.01964,0.00925233,0.974362,0.000329,4054.67,4073
3,81,0.191087,0.995778,1.03452,0.0104317,0.979085,0.000401333,4089.33,4109
3,82,0.185048,0.98294,1.01914,0.00922467,0.970494,0.000341333,4041.67,4055
3,83,0.187981,0.987716,1.03082,0.0109023,0.972884,0.000287,4065.67,4077
3,84,0.183005,0.977157,1.01636,0.009823,0.967788,0.000451667,4027.67,4046
3,85,0.187183,0.98503,1.02174,0.0100937,0.97457,0.000366333,4052.33,4079
3,86,0.185839,0.983682,1.02206,0.009799,0.971073,0.000302667,4046.67,4060
3,87,0.182653,0.978166,1.0124,0.008767,0.961484,0.000561667,4018,4033
3,88,0.188637,0.987584,1.02578,0.009175,0.979303,0.000357333,4066,4083
3,89,0.183965,0.985433,1.0258,0.00903733,0.973024,0.000534333,4057,4076
3,90,0.186619,0.977966,1.01709,0.00904867,0.970541,0.000353,4037,4053
3,91,0.184659,0.982084,1.02016,0.0102933,0.967529,0.000448333,4039.67,4063
3,92,0.189732,0.990758,1.03951,0.0100997,0.972787,0.000473667,4080.33,4095
3,93,0.190375,0.986892,1.02524,0.00944067,0.978981,0.000294667,4064.33,4081
3,94,0.18786,0.98615,1.02233,0.00984967,0.978427,0.000554667,4061.67,4074
3,95,0.193084,1.00071,1.03965,0.0101557,0.98917,0.00031,4109,4117
3,96,0.1839,0.992569,1.02757,0.00937967,0.968269,0.000286667,4058.67,4081
3,97,0.190653,0.992296,1.02964,0.008873,0.983708,0.000303667,4080,4114
3,98,0.1866,0.988541,1.02821,0.00998967,0.974839,0.000393,4066,4076
3,99,0.185951,0.979581,1.0188,0.00957033,0.966317,0.000396667,4033,4044
3,100,0.187456,0.98702,1.02203,0.0101527,0.976527,0.000355333,4056,4074
4,0,0.363532,1.17766,1.2051,0.485467,1.36321,0.00025625,5254.25,5278
4,1,0.364851,1.17568,1.20242,0.484046,1.35577,0.00025375,5240.25,5249
4,2,0.326979,1.10552,1.12665,0.0242185,1.21063,0.00042975,4452.75,4462
4,3,0.323815,1.08625,1.10747,0.0178848,1.20696,0.000226,4392.75,4420
4,4,0.339512,1.12218,1.14854,0.0180525,1.24509,0.0003285,4522.5,4543
4,5,0.329135,1.10766,1.12915,0.0194413,1.22298,0.00031275,4464.5,4489
4,6,0.332008,1.11617,1.13943,0.0173125,1.23558,0.00029125,4491,4517
4,7,0.327908,1.09332,1.11405,0.0189552,1.21285,0.00028125,4414.75,4422
4,8,0.326396,1.09882,1.11787,0.018424,1.2118,0.00036975,4424,4451
4,9,0.32886,1.09987,1.12482,0.0199133,1.21423,0.00029475,4440.25,4450
4,10,0.3261,1.09402,1.11468,0.0173638,1.2126,0.0003115,4413.5,4440
4,11,0.329604,1.09798,1.12159,0.019117,1.21672,0.00032975,4436.75,4445
4,12,0.337616,1.1279,1.14505,0.0176647,1.26888,0.00038675,4550.75,4566
4,13,0.325811,1.09367,1.11863,0.019294,1.20401,0.00022275,4412.25,4422
4,14,0.328912,1.10306,1.12128,0.018271,1.2197,0.0003815,4442,4454
4,15,0.326902,1.09171,1.11291,0.0191307,1.2043,0.00029325,4405.25,4415
4,16,0.32874,1.09815,1.11709,0.0184078,1.21611,0.00029275,4428.25,4450
4,17,0.322002,1.08333,1.10359,0.0175495,1.19162,0.00027325,4368.75,4388
4,18,0.324879,1.09632,1.11885,0.0180543,1.21231,0.0002415,4421,4440
4,19,0.325491,1.09703,1.11786,0.0181718,1.20888,0.0004255,4421.5,4433
4,20,0.325649,1.09753,1.11818,0.0188425,1.21047,0.0002965,4422.75,4449
4,21,0.325681,1.09176,1.11772,0.0183367,1.20672,0.00022975,4411.25,4420
4,22,0.329326,1.09957,1.12446,0.0185085,1.22025,0.000328,4443.75,4458
4,23,0.338551,1.1238,1.14943,0.0173645,1.251,0.00036875,4531,4542
4,24,0.327403,1.10287,1.12266,0.0186405,1.21717,0.00036525,4442.25,4464
4,25,0.322981,1.10209,1.11941,0.0241747,1.21454,0.0002975,4436.75,4465
4,26,0.328508,1.09712,1.12109,0.018734,1.21352,0.0003025,4430.5,4453
