Roll,Pitch,Z,Area
-58,8,200,0.5831907613344739
-56,8,200,0.6114200171086399
-54,8,200,0.6387938408896493
-52,8,200,0.665098374679213
-50,8,200,0.6903336184773311
-48,8,200,0.7144995722840034
-46,8,200,0.7378100940975193
-44,8,200,0.7602651839178786
-42,8,200,0.781437125748503
-40,8,200,0.8017536355859709
-38,8,200,0.8212147134302823
-36,8,200,0.839606501283148
-34,8,200,0.856928999144568
-32,8,200,0.8731822070145423
-30,8,200,0.8885799828913601
-28,8,200,0.9029084687767323
-26,8,200,0.9163815226689478
-24,8,200,0.9287852865697177
-22,8,200,0.9401197604790419
-20,8,200,0.9505988023952096
-18,8,200,0.9600085543199316
-16,8,200,0.9683490162532079
-14,8,200,0.9758340461933276
-12,8,200,0.9822497861420018
-10,8,200,0.9875962360992301
-8,8,200,0.992087254063302
-6,8,200,0.9955089820359282
-4,8,200,0.9980752780153977
-2,8,200,0.9995722840034217
0,8,200,1.0
2,8,200,1.0
4,8,200,1.0
6,8,200,0.9982843662877976
8,8,200,0.9948530988633927
10,8,200,0.9903495603688612
12,8,200,0.9847737508042033
14,8,200,0.9783401243834441
16,8,200,0.9708342268925585
18,8,200,0.9624705125455715
20,8,200,0.953034527128458
22,8,200,0.9425262706412181
24,8,200,0.9311601972978769
26,8,200,0.9187218528844092
28,8,200,0.9052112374008149
30,8,200,0.8908428050611195
32,8,200,0.8754021016512974
34,8,200,0.8588891271713489
36,8,200,0.8415183358352991
38,8,200,0.8230752734291229
40,8,200,0.8037743941668454
42,8,200,0.7834012438344413
44,8,200,0.7619558224319107
46,8,200,0.7396525841732791
48,8,200,0.7160626206304954
50,8,200,0.6918292944456359
52,8,200,0.6665236971906497
54,8,200,0.6401458288655372
56,8,200,0.6126956894702981
58,8,200,0.5843877332189578
60,8,200,0.5550075058974909
62,8,200,0.5245550075058975
64,8,200,0.4932446922582029
66,8,200,0.461076560154407
68,8,200,0.4276217027664594
70,8,200,0.39330902852241045
72,8,200,0.35792408320823504
74,8,200,0.3216813210379584
76,8,200,0.28436628779755524
78,8,200,0.24619343770105082
80,8,200,0.2067338623203946
82,8,200,0.16641647008363714
-80,10,200,0.20544713703624276
-78,10,200,0.24469225820287369
-76,10,200,0.2828651082993781
-74,10,200,0.32018014153978125
-72,10,200,0.3564229037100579
-70,10,200,0.3918078490242333
-68,10,200,0.4261205232682822
-66,10,200,0.4593609264422046
-64,10,200,0.49152905854600043
-62,10,200,0.522839373793695
-60,10,200,0.5532918721852884
-58,10,200,0.58245764529273
-56,10,200,0.6107656015440703
-54,10,200,0.6382157409393094
-52,10,200,0.664593609264422
-50,10,200,0.6898992065194081
-48,10,200,0.7141325327042677
-46,10,200,0.737508042033026
-44,10,200,0.7598112802916577
-42,10,200,0.7812567016941883
-40,10,200,0.8016298520265923
-38,10,200,0.8209307312888698
-36,10,200,0.839373793695046
-34,10,200,0.8567445850310959
-32,10,200,0.8730431052970191
-30,10,200,0.8884838087068411
-28,10,200,0.9028522410465366
-26,10,200,0.9163628565301308
-24,10,200,0.9288012009435985
-22,10,200,0.9401672742869397
-20,10,200,0.9504610765601544
-18,10,200,0.9598970619772679
-16,10,200,0.9684752305382801
-14,10,200,0.9757666738151405
-12,10,200,0.9822003002358997
-10,10,200,0.9877761098005576
-8,10,200,0.9920651940810636
-6,10,200,0.9957109157194939
-4,10,200,0.9980699120737723
-2,10,200,0.9995710915719493
0,10,200,1.0
2,10,200,1.0
4,10,200,1.0
6,10,200,0.9987091222030982
8,10,200,0.9950516351118761
10,10,200,0.9905335628227194
12,10,200,0.9851549053356282
14,10,200,0.9787005163511188
16,10,200,0.9711703958691911
18,10,200,0.9625645438898451
20,10,200,0.9530981067125646
22,10,200,0.9425559380378657
24,10,200,0.9311531841652324
26,10,200,0.9186746987951807
28,10,200,0.9051204819277109
30,10,200,0.8904905335628227
32,10,200,0.875
34,10,200,0.8586488812392427
36,10,200,0.8412220309810671
38,10,200,0.8227194492254734
40,10,200,0.8031411359724613
42,10,200,0.7827022375215146
44,10,200,0.7611876075731497
46,10,200,0.7388123924268503
48,10,200,0.7151462994836488
50,10,200,0.6908347676419966
52,10,200,0.6652323580034424
54,10,200,0.6387693631669535
56,10,200,0.6114457831325302
58,10,200,0.5828313253012049
60,10,200,0.5533562822719449
62,10,200,0.5230206540447504
64,10,200,0.49160929432013767
66,10,200,0.4591222030981067
68,10,200,0.4255593803786575
70,10,200,0.3911359724612737
72,10,200,0.3556368330464716
74,10,200,0.3192771084337349
76,10,200,0.28184165232358005
78,10,200,0.2433304647160069
80,10,200,0.20395869191049915
-78,12,200,0.2429001721170396
-76,12,200,0.28119621342512907
-74,12,200,0.318631669535284
-72,12,200,0.35499139414802067
-70,12,200,0.39027538726333905
-68,12,200,0.4246987951807229
-66,12,200,0.45804647160068845
-64,12,200,0.4905335628227194
-62,12,200,0.5219449225473322
-60,12,200,0.5522805507745266
-58,12,200,0.5817555938037866
-56,12,200,0.6099397590361446
-54,12,200,0.6374784853700516
-52,12,200,0.6639414802065404
-50,12,200,0.689328743545611
-48,12,200,0.7136402753872634
-46,12,200,0.7370912220309811
-44,12,200,0.7594664371772806
-42,12,200,0.7807659208261618
-40,12,200,0.8012048192771084
-38,12,200,0.8207831325301205
-36,12,200,0.8390705679862306
-34,12,200,0.8564974182444062
-32,12,200,0.8728485370051635
-30,12,200,0.8883390705679862
-28,12,200,0.9027538726333907
-26,12,200,0.9163080895008606
-24,12,200,0.9285714285714286
-22,12,200,0.939974182444062
-20,12,200,0.9505163511187608
-18,12,200,0.9599827882960413
-16,12,200,0.9683734939759037
-14,12,200,0.9759036144578314
-12,12,200,0.9823580034423408
-10,12,200,0.987736660929432
-8,12,200,0.9922547332185886
-6,12,200,0.995697074010327
-4,12,200,0.9980636833046471
-2,12,200,0.9995697074010327
0,12,200,1.0
2,12,200,1.0
4,12,200,1.0
6,12,200,0.9989203195854027
8,12,200,0.9954653422586914
10,12,200,0.9909306845173829
12,12,200,0.985316346361477
14,12,200,0.9788382638738933
16,12,200,0.9712805009717124
18,12,200,0.9626430576549342
20,12,200,0.9531418700064781
22,12,200,0.9425610019434247
24,12,200,0.9311163895486936
26,12,200,0.9183761606564457
28,12,200,0.9049881235154394
30,12,200,0.8903044698769165
32,12,200,0.8747570719067156
34,12,200,0.8581299935219175
36,12,200,0.8406391708054416
38,12,200,0.8220686676743684
40,12,200,0.8024184841286979
42,12,200,0.7819045562513496
44,12,200,0.760310947959404
46,12,200,0.7378535953357807
48,12,200,0.7141006262146404
50,12,200,0.689699848844742
52,12,200,0.6640034549773267
54,12,200,0.6374433167782336
56,12,200,0.6098034981645433
58,12,200,0.5812999352191751
60,12,200,0.5517166918592097
62,12,200,0.521053768084647
64,12,200,0.4895270999784064
66,12,200,0.45692075145756855
68,12,200,0.42323472252213346
70,12,200,0.3886849492550205
72,12,200,0.3530554955733103
74,12,200,0.31656229755992227
76,12,200,0.2789894191319369
78,12,200,0.24033686028935436
-76,14,200,0.2792053552148564
-74,14,200,0.31656229755992227
-72,14,200,0.3530554955733103
-70,14,200,0.3886849492550205
-68,14,200,0.423018786439214
-66,14,200,0.45670481537464913
-64,14,200,0.4890952278125675
-62,14,200,0.520621895918808
-60,14,200,0.5510688836104513
-58,14,200,0.5804361908874973
-56,14,200,0.6089397538328655
-54,14,200,0.6365795724465558
-52,14,200,0.6629237745627294
-50,14,200,0.6884042323472253
-48,14,200,0.7130209458000432
-46,14,200,0.7363420427553444
-44,14,200,0.7587993953789678
-42,14,200,0.7803930036709134
-40,14,200,0.8009069315482618
-38,14,200,0.8203411790110128
-36,14,200,0.8386957460591665
-34,14,200,0.8561865687756424
-32,14,200,0.872597711077521
-30,14,200,0.8881451090477219
-28,14,200,0.9026128266033254
-26,14,200,0.9160008637443317
-24,14,200,0.9285251565536601
-22,14,200,0.9399697689483912
-20,14,200,0.9503347009285251
-18,14,200,0.9598358885769812
-16,14,200,0.96825739581084
-14,14,200,0.9758151587130209
-12,14,200,0.9822932412006046
-10,14,200,0.987691643273591
-8,14,200,0.9922263010148996
-6,14,200,0.9956812783416109
-4,14,200,0.9980565752537249
-2,14,200,0.9993521917512417
0,14,200,1.0
2,14,200,1.0
4,14,200,1.0
6,14,200,0.9995662546085448
