# Fri Mar 22 16:25:06 2024
#iter,start_t0,scanf(),checkExit,loopIter,fillChar,solvePos,filltoSend,sent,total
195,0.00,0.23,0.03,0.75,0.01,0.01,0.05,0.01,1.10
196,0.00,0.09,0.01,0.44,0.01,0.01,0.06,0.01,0.63
197,0.00,0.21,0.03,1.28,0.05,0.03,0.09,0.01,1.70
198,0.00,0.09,0.01,0.53,0.01,0.01,0.03,0.01,0.68
199,0.00,0.10,0.01,0.32,0.01,0.01,0.03,0.00,0.48
200,0.00,0.22,0.03,0.73,0.01,0.01,0.04,0.00,1.05
201,0.00,0.14,0.01,0.76,0.01,0.01,0.03,0.01,0.97
202,0.00,0.08,0.01,0.50,0.03,0.01,0.01,0.00,0.63
203,0.00,0.09,0.01,0.52,0.03,0.01,0.01,0.00,0.67
204,0.00,0.08,0.01,0.35,0.02,0.01,0.01,0.00,0.48
205,0.00,8.17,0.03,0.31,0.03,0.01,0.01,0.00,8.57
206,0.00,0.08,0.01,0.55,0.05,0.02,0.01,0.01,0.73
207,0.00,0.12,0.01,0.63,0.05,0.02,0.01,0.01,0.84
208,0.00,0.08,0.01,0.39,0.02,0.01,0.01,0.00,0.51
209,0.00,0.09,0.01,0.59,0.05,0.01,0.01,0.01,0.77
210,0.00,0.07,0.01,0.37,0.02,0.01,0.01,0.00,0.48
211,0.00,0.09,0.01,0.24,0.02,0.01,0.01,0.00,0.37
212,0.00,0.08,0.01,0.62,0.03,0.01,0.01,0.00,0.76
213,0.00,0.14,0.01,0.70,0.05,0.01,0.01,0.01,0.94
214,0.00,0.17,0.02,0.96,0.14,0.01,0.01,0.01,1.32
215,0.00,0.10,0.01,0.51,0.04,0.01,0.01,0.00,0.68
216,0.00,0.11,0.01,0.49,0.04,0.01,0.01,0.00,0.67
217,0.00,0.14,0.01,0.45,0.03,0.01,0.01,0.00,0.64
218,0.00,0.16,0.02,0.76,0.06,0.05,0.08,0.02,1.14
219,0.00,0.09,0.02,0.42,0.02,0.01,0.01,0.00,0.57
220,0.00,0.09,0.01,0.25,0.03,0.01,0.01,0.00,0.40
221,0.00,0.09,0.01,7.68,0.04,0.01,0.01,0.00,7.84
222,0.00,0.13,0.01,0.55,0.04,0.01,0.01,0.00,0.76
223,0.00,0.12,0.01,0.61,0.04,0.01,0.01,0.00,0.80
224,0.00,0.18,0.02,0.90,0.03,0.01,0.01,0.00,1.15
225,0.00,0.14,0.02,0.01,0.02,0.01,0.01,0.01,0.22
226,0.00,0.13,0.01,0.47,0.03,0.01,0.01,0.00,0.66
227,0.00,0.14,0.04,0.92,0.08,0.02,0.31,0.02,1.52
228,0.00,0.09,0.01,0.41,0.09,0.03,0.02,0.01,0.66
229,0.00,0.71,0.02,1.10,0.04,0.01,0.01,0.00,1.90
230,0.00,0.09,0.01,0.53,0.03,0.01,0.01,0.00,0.68
231,0.00,0.15,0.02,0.50,0.04,0.01,0.01,0.00,0.74
232,0.00,0.10,0.01,0.55,0.01,0.01,0.08,0.01,0.77
233,0.00,0.09,0.01,0.26,0.01,0.01,0.02,0.00,0.41
234,0.00,0.16,0.01,4.93,0.04,0.02,0.08,0.00,5.25
235,0.00,0.15,0.02,1.26,0.02,0.01,0.03,0.00,1.48
236,0.00,0.14,0.01,0.39,0.04,0.01,0.01,0.01,0.61
237,0.00,0.21,0.03,0.96,0.04,0.02,0.01,0.01,1.28
238,0.00,0.08,0.01,0.78,0.04,0.01,0.01,0.00,0.94
239,0.00,0.20,0.01,0.41,0.05,0.01,0.01,0.01,0.71
240,0.00,0.12,0.01,0.73,0.06,0.01,0.01,0.01,0.95
241,0.00,0.09,0.01,0.42,0.03,0.01,0.01,0.00,0.56
242,0.00,0.09,0.01,0.46,0.03,0.01,0.01,0.00,0.60
243,0.00,0.09,0.01,0.25,0.02,0.01,0.01,0.00,0.39
244,0.00,0.09,0.01,0.43,0.03,0.01,0.01,0.01,0.58
245,0.00,0.11,0.01,0.49,0.04,0.01,0.01,0.00,0.67
246,0.00,0.09,0.01,0.48,0.03,0.01,0.01,0.00,0.63
247,0.00,0.09,0.01,0.51,0.03,0.01,0.01,0.00,0.67
248,0.00,0.14,0.02,0.93,0.09,0.02,0.02,0.01,1.22
249,0.00,0.12,0.02,0.59,0.03,0.01,0.01,0.00,0.79
250,0.00,0.09,0.01,0.61,0.06,0.01,0.01,0.01,0.80
251,0.00,0.08,0.01,0.43,0.04,0.01,0.01,0.00,0.58
252,0.00,0.07,0.01,0.67,0.04,0.01,0.01,0.00,0.81
253,0.00,0.08,0.01,0.43,0.03,0.04,0.02,0.00,0.62
254,0.00,0.09,0.01,0.47,0.04,0.01,0.01,0.01,0.64
255,0.00,0.12,0.01,0.56,0.03,0.01,0.01,0.00,0.75
256,0.00,0.11,0.01,0.54,0.03,0.01,0.01,0.00,0.72
257,0.00,0.10,0.01,0.43,0.02,0.01,0.01,0.00,0.58
258,0.00,0.11,0.01,0.64,0.04,0.02,0.01,0.01,0.85
259,0.00,0.12,0.01,0.01,0.02,0.01,0.01,0.01,0.19
260,0.00,0.12,0.01,0.76,0.05,0.02,0.01,0.00,0.99
261,0.00,0.22,0.01,0.63,0.04,0.01,0.01,0.00,0.93
262,0.00,0.08,0.01,0.45,0.04,0.01,0.01,0.01,0.61
263,0.00,0.09,0.01,0.28,0.03,0.01,0.01,0.00,0.44
