Z,Roll,Pitch,Area
14,-62,0,0.9285918309054556
16,-62,0,0.9190231362467867
18,-62,0,0.9088831762353613
20,-62,0,0.8980291345329906
22,-62,0,0.8864610111396743
24,-62,0,0.8741788060554128
26,-62,0,0.8613253356183947
28,-62,0,0.8477577834904313
-30,-60,0,0.9735789774350185
-28,-60,0,0.9785775492716366
-26,-60,0,0.9828620394173093
-24,-60,0,0.9865752642102257
-22,-60,0,0.9895744073121965
-20,-60,0,0.991859468723222
-18,-60,0,0.993573264781491
-16,-60,0,0.9945729791488146
-14,-60,0,0.9950014281633819
-12,-60,0,0.9947157954870037
-10,-60,0,0.9937160811196801
-8,-60,0,0.992002285061411
-6,-60,0,0.9897172236503856
-4,-60,0,0.9868608968866038
-2,-60,0,0.9831476720936875
0,-60,0,0.9788631819480148
2,-60,0,0.9740074264495858
4,-60,0,0.9682947729220223
6,-60,0,0.9621536703798914
8,-60,0,0.9551556698086261
10,-60,0,0.9475864038846044
12,-60,0,0.9393030562696373
14,-60,0,0.9304484433019138
16,-60,0,0.9207369323050557
18,-60,0,0.9105969722936303
20,-60,0,0.8996001142530705
22,-60,0,0.8880319908597544
24,-60,0,0.8758926021136818
26,-60,0,0.8628963153384748
28,-60,0,0.8494715795487003
30,-60,0,0.8351899457297914
-32,-58,0,0.9695801199657241
-30,-58,0,0.9752927734932876
-28,-58,0,0.9802913453299057
-26,-58,0,0.9845758354755784
-24,-58,0,0.9882890602684947
-22,-58,0,0.9911453870322765
-20,-58,0,0.993573264781491
-18,-58,0,0.995144244501571
-16,-58,0,0.9962867752070836
-14,-58,0,0.9965724078834619
-12,-58,0,0.9962867752070836
-10,-58,0,0.99528706083976
-8,-58,0,0.993573264781491
-6,-58,0,0.9912882033704655
-4,-58,0,0.9882890602684947
-2,-58,0,0.9847186518137675
0,-58,0,0.9804341616680948
2,-58,0,0.9754355898314767
4,-58,0,0.9698657526421023
6,-58,0,0.9635818337617823
8,-58,0,0.956583833190517
10,-58,0,0.9490145672664952
12,-58,0,0.9407312196515282
14,-58,0,0.9317337903456155
16,-58,0,0.9221650956869466
18,-58,0,0.9120251356755212
20,-58,0,0.9010282776349614
22,-58,0,0.8894601542416453
24,-58,0,0.8771779491573836
26,-58,0,0.8643244787203657
28,-58,0,0.8507569265924022
30,-58,0,0.8364752927734933
32,-58,0,0.8216223936018281
-34,-56,0,0.964724364467295
-32,-56,0,0.971008283347615
-30,-56,0,0.9765781205369894
-28,-56,0,0.9815766923736076
-26,-56,0,0.9858611825192802
-24,-56,0,0.9895744073121965
-22,-56,0,0.9925735504141674
-20,-56,0,0.9948586118251928
-18,-56,0,0.9965724078834619
-16,-56,0,0.9975721222507855
-14,-56,0,0.9978577549271637
-12,-56,0,0.9975721222507855
-10,-56,0,0.9965724078834619
-8,-56,0,0.9948586118251928
-6,-56,0,0.9925735504141674
-4,-56,0,0.9895744073121965
-2,-56,0,0.9858611825192802
0,-56,0,0.9815766923736076
2,-56,0,0.9765781205369894
4,-56,0,0.971008283347615
6,-56,0,0.964724364467295
8,-56,0,0.9577263638960297
10,-56,0,0.950157097972008
12,-56,0,0.9418737503570408
14,-56,0,0.9328763210511283
16,-56,0,0.9233076263924593
18,-56,0,0.913024850042845
20,-56,0,0.9021708083404741
22,-56,0,0.890602684947158
24,-56,0,0.8783204798628963
26,-56,0,0.8653241930876893
28,-56,0,0.8517566409597258
30,-56,0,0.837617823479006
32,-56,0,0.8226221079691517
34,-56,0,0.807055127106541
-36,-54,0,0.9588688946015425
-34,-54,0,0.9658668951728078
-32,-54,0,0.9721508140531276
-30,-54,0,0.9777206512425022
-28,-54,0,0.9827192230791203
-26,-54,0,0.987003713224793
-24,-54,0,0.9905741216795202
-22,-54,0,0.993573264781491
-20,-54,0,0.9958583261925165
-18,-54,0,0.9975721222507855
-16,-54,0,0.9985718366181091
-14,-54,0,0.9988574692944873
-12,-54,0,0.99842902027992
-10,-54,0,0.9974293059125964
-8,-54,0,0.9958583261925165
-6,-54,0,0.9934304484433019
-4,-54,0,0.9904313053413311
-2,-54,0,0.9868608968866038
0,-54,0,0.9825764067409312
