Z,Roll,Pitch,Area
35,35,0,0.7461118965865482
40,35,0,0.6841042213694203
45,35,0,0.6160371642092507
50,35,0,0.542314683902242
55,35,0,0.46253282165219145
-50,40,0,0.8618460916986468
-45,40,0,0.8990103009493031
-40,40,0,0.9305190870531206
-35,40,0,0.9561704706119976
-30,40,0,0.9757624722278327
-25,40,0,0.989699050696829
-20,40,0,0.9977782266208847
-15,40,0,1.0
-10,40,0,1.0
-5,40,0,1.0
0,40,0,1.0
5,40,0,0.99830220713073
10,40,0,0.9698641765704584
15,40,0,0.9350594227504244
20,40,0,0.8943123938879457
25,40,0,0.8474108658743633
30,40,0,0.7943548387096774
35,40,0,0.735144312393888
40,40,0,0.669779286926995
45,40,0,0.5982597623089984
50,40,0,0.5205857385398981
-45,45,0,0.8947368421052632
-40,45,0,0.9276315789473685
-35,45,0,0.9543718166383701
-30,45,0,0.9749575551782682
-25,45,0,0.9896010186757216
-20,45,0,0.9978777589134126
-15,45,0,1.0
-10,45,0,1.0
-5,45,0,1.0
0,45,0,1.0
5,45,0,1.0
10,45,0,0.9706278026905829
15,45,0,0.9338565022421524
20,45,0,0.8905829596412556
25,45,0,0.8410313901345291
30,45,0,0.7847533632286996
35,45,0,0.7221973094170404
40,45,0,0.6529147982062781
45,45,0,0.5771300448430493
-40,50,0,0.9242152466367713
-35,50,0,0.9522421524663677
-30,50,0,0.9739910313901345
-25,50,0,0.989237668161435
-20,50,0,0.997982062780269
-15,50,0,1.0
-10,50,0,1.0
-5,50,0,1.0
0,50,0,1.0
5,50,0,1.0
10,50,0,0.971163012392755
15,50,0,0.9318398474737846
20,50,0,0.8858436606291706
25,50,0,0.8329361296472831
30,50,0,0.773117254528122
35,50,0,0.7063870352716873
40,50,0,0.632745471877979
-35,55,0,0.9497140133460439
-30,55,0,0.9725929456625357
-25,55,0,0.988560533841754
-20,55,0,0.9976167778836987
-15,55,0,1.0
-10,55,0,1.0
-5,55,0,1.0
0,55,0,1.0
5,55,0,1.0
10,55,0,0.9716692189892803
15,55,0,0.9298111281265952
20,55,0,0.8802960694231751
