# Thu Mar 21 01:24:14 2024

#test,startt0,iter._st,after_ch,start_us,after_so,end_useT,sent_fro,after_fl,
88,0.00,2.12,0.02,0.95,0.02,0.08,0.01,0.08,83.10,0.91,
89,0.00,0.22,0.02,0.94,0.01,0.04,0.00,0.05,30.77,0.91,
90,0.00,0.11,0.01,0.01,0.01,0.02,0.00,0.03,31.44,0.01,
91,0.00,1.23,0.03,0.28,0.01,0.03,0.00,0.03,34.65,0.27,
92,0.00,0.42,0.02,0.58,0.01,0.04,0.00,0.04,31.69,0.56,
93,0.00,0.16,0.02,0.39,0.01,0.03,0.00,0.03,33.60,0.37,
94,0.00,0.12,0.02,0.37,0.01,0.09,0.01,0.03,31.23,0.33,
95,0.00,0.15,0.02,0.43,0.01,0.04,0.00,0.07,39.63,0.41,
96,0.00,0.20,0.03,0.62,0.02,0.05,0.01,0.06,69.82,0.57,
97,0.00,0.16,0.02,0.46,0.01,0.03,0.00,0.03,54.59,0.44,
98,0.00,0.22,0.04,0.77,0.01,0.03,0.01,0.03,53.53,0.75,
99,0.00,0.20,0.02,0.56,0.06,0.05,0.01,0.05,30.66,0.52,
100,0.00,0.12,0.02,1.47,0.02,0.06,0.01,0.05,33.81,1.42,
101,0.00,0.09,0.01,0.39,0.01,0.02,0.00,0.06,41.70,0.37,
102,0.00,0.11,0.01,0.51,0.02,0.03,0.08,0.08,46.77,0.47,
103,0.00,0.10,0.01,0.52,0.01,0.03,0.00,0.04,49.83,0.50,
104,0.00,0.13,0.02,3.23,0.01,0.04,0.00,0.03,44.43,3.20,
105,0.00,0.25,0.08,0.85,0.02,0.07,0.01,0.06,70.23,0.81,
106,0.00,0.10,0.01,0.80,0.01,0.05,0.00,0.04,54.23,0.76,
107,0.00,0.13,0.02,8.74,0.02,0.05,0.01,0.06,46.28,8.70,
108,0.00,0.13,0.02,0.51,0.01,0.03,0.00,0.03,51.80,0.49,
109,0.00,0.16,0.02,0.80,0.01,1.59,0.02,0.03,58.17,0.77,
110,0.00,0.15,0.03,1.10,0.03,0.09,0.01,0.08,43.98,1.05,
111,0.00,0.18,0.02,0.35,0.02,0.05,0.01,0.05,50.19,0.34,
112,0.00,0.21,0.03,0.67,0.02,0.06,0.01,0.06,44.14,0.63,
113,0.00,0.11,0.01,0.55,0.01,0.03,0.00,0.03,40.84,0.53,
114,0.00,0.11,0.01,0.56,0.01,0.03,0.00,0.03,54.17,0.55,
115,0.00,0.09,0.01,0.44,0.01,0.03,0.00,0.03,51.73,0.42,
116,0.00,0.11,0.01,0.71,0.01,0.03,0.00,0.03,47.51,0.69,
117,0.00,0.26,0.05,0.77,0.01,0.04,0.00,0.02,51.23,0.75,
118,0.00,0.19,0.03,5.29,0.02,0.05,0.00,0.03,51.91,5.24,
119,0.00,0.22,0.03,0.75,0.01,0.04,0.00,0.04,46.87,0.72,
120,0.00,0.12,0.02,0.70,0.01,0.04,0.01,0.05,46.58,0.68,
